considertations;Library;Notes;Python API;R API;Other Programming Languages;Visualization available;Models;Methods;Explanations;Classification;Regression;Clustering;Tabular;Text;Images;Train Set Required;Distributed;Licence;Active development;Documentation Level (Good, API - only the methods, only examples, no doc - only code);Availabilty in package manager (Anaconda, PIP) - Yes/No
;"AI Fairness 360 (F360)

http://aif360.mybluemix.net/
https://github.com/Trusted-AI/AIF360
";Library/toolkit for detection and mitigation of bias. Contains implementation of methods for mitigating bias and different metrics for measuring fairness;Yes;Yes;No;No;"*sklearn,
*tensorflow";"Optimized Preprocessing,
Disparate Impact Remove,
Equalized Odds Postprocessing,
Reweighing,
Reject Option Classification,
Prejudice Remover Regularizer,
Calibrated Equalized Odds Postprocessing,
Learning Fair Representations,
Adversarial Debiasing,
Meta-Algorithm for Fair Classification,
Rich Subgroup Fairness,
Exponentiated Gradient Reduction,
Grid Search Reduction";N/A;Yes;Yes;No;Yes;No;No;For certain methods;No;Apache 2.0;Yes;Good Documentation;Yes
Analyze;"AI Explainability 360 (AIX360)

http://aix360.mybluemix.net/
https://github.com/IBM/AIX360 ";"The AI Explainability 360 toolkit is an open-source library that supports interpretability and explainability of datasets and machine learning models.

Nice guidance diagram: http://aix360.mybluemix.net/resources#guidance ";Yes;No;No;Yes;"Keras,
Black-Box,
sklearn";ProtoDash (Gurumoorthy et al., 2019);Data explanation;Yes;*No;No;Yes;No;Yes;For certain methods;No;Apache 2.0;Yes;Good Documentation;Yes
;;;;;;;;Disentangled Inferred Prior VAE (Kumar et al., 2018);Data explanation;Yes;No;No;No;No;Yes;;;;;;
;;;;;;;;Contrastive Explanations Method (Dhurandhar et al., 2018);Local explanation;Yes;No;No;Yes;No;Yes;;;;;;
;;;;;;;;Contrastive Explanations Method with Monotonic Attribute Functions (Luss et al., 2019);Local explanation;Yes;No;No;No;No;Yes;;;;;;
;;;;;;;;LIME (Ribeiro et al. 2016) * wrapper around (https://github.com/marcotrc/lime);Local explanation;Yes;Yes;No;Yes;Yes;Yes;;;;;;
;;;;;;;;SHAP (Lundberg, et al. 2017) * wrapper around (https://github.com/slundberg/shap);Local explanation;Yes;Yes;No;Yes;No;No;;;;;;
;;;;;;;;Teaching AI to Explain its Decisions (Hind et al., 2019);Local explanation;Yes;*No;No;Yes;No;No;;;;;;
;;;;;;;;Boolean Decision Rules via Column Generation (Light Edition) (Dash et al., 2018);Global explanation;Yes;No;No;Yes;No;No;;;;;;
;;;;;;;;Generalized Linear Rule Models (Wei et al., 2019);Global explanation;No;Yes;;Yes;No;No;;;;;;
;;;;;;;;ProfWeight (Dhurandhar et al., 2018);Global explanation;Yes;*Yes;No;*Yes;No;Yes;;;;;;
Analyze;"Anchor

https://github.com/marcotcr/anchor ";"Anchors: High-Precision Model-Agnostic Explanations

https://homes.cs.washington.edu/~marcotcr/aaai18.pdf";Yes;No;No;Yes;Black-Box;Anchor;Local explanation;Yes;No;;Yes;Yes;No;No;No;BSD 2-Clause License;*Yes;Examples;Yes
;"Alibi

https://github.com/SeldonIO/alibi ";Alibi is an open source Python library aimed at machine learning model inspection and interpretation. The focus of the library is to provide high-quality implementations of black-box, white-box, local and global explanation methods for classification and regression models.;Yes;No;No;Yes;Black-Box;ALE;Global explanation;Yes;Yes;;Yes;No;No;Yes;No;Apache 2.0;Yes;Good Documentation;Yes
;;;;;;;Black-Box;Anchor;Local explanation;Yes;No;;Yes;Yes;Yes;For Tabluar Data;No;;;;
;;;;;;;"Black-Box,
Keras/Tensorflow";CEM;Local explanation;Yes;No;;Yes;No;Yes;Optional;No;;;;
;;;;;;;"Black-Box,
Keras/Tensorflow";Counterfactuals;Local explanation;Yes;No;;Yes;No;Yes;No;No;;;;
